Id,Start time,Completion time,Email,Name,What pathway are you in?,How would you rate your communication skills?,How much do you enjoy learning about topics such as chemistry or biology?,How much do you enjoy teamwork?,How often are you the leader in group projects?,How much do you enjoy learning about subjects such as physics?,"How often do you stay calm, even when under pressure?",How much do you like learning about new technology?,How much do you enjoy using organizational tools like Excel spreadsheets and schedules?,How much do you have a passion for helping other people?,How much do you enjoy learning about math?,How often are your decisions based on emotions rather than objective fact?,How often do you plan your day in advance?
2,5/1/2025 8:55,5/1/2025 8:55,anonymous,,Engineering,7,4,0,6,6,5,8,4,6,8,5,1
3,5/1/2025 8:56,5/1/2025 8:56,anonymous,,Engineering,10,10,10,10,10,10,10,10,10,10,9,10
4,5/1/2025 8:55,5/1/2025 8:56,anonymous,,Artificial Intelligence,7,0,10,5,4,8,10,8,8,6,7,0
5,5/1/2025 8:55,5/1/2025 8:56,anonymous,,Artificial Intelligence,8,5,7,4,6,7,7,5,10,8,4,5
6,5/1/2025 8:56,5/1/2025 8:57,anonymous,,Engineering,8,3,6,7,8,5,9,7,8,10,4,6
7,5/1/2025 8:56,5/1/2025 8:57,anonymous,,Artificial Intelligence,3,2,5,5,3,7,7,2,6,6,6,2
8,5/1/2025 8:56,5/1/2025 8:57,anonymous,,Engineering,5,4,6,2,0,5,8,6,7,10,6,2
9,5/1/2025 8:56,5/1/2025 8:58,anonymous,,Artificial Intelligence,3,0,2,2,0,6,2,0,2,5,3,0
10,5/1/2025 8:56,5/1/2025 8:59,anonymous,,Engineering,8,6,9,9,8,7,10,4,8,8,2,4
11,5/1/2025 8:56,5/1/2025 8:59,anonymous,,Engineering,8,7,8,7,9,9,9,8,8,8,4,6
12,5/1/2025 9:01,5/1/2025 9:08,anonymous,,Artificial Intelligence,3,5,7,8,5,8,10,6,7,6,5,5
13,5/1/2025 11:22,5/1/2025 11:25,anonymous,,Artificial Intelligence,3,4,1,0,0,3,7,3,3,8,1,8
14,5/1/2025 11:25,5/1/2025 11:26,anonymous,,Engineering,6,0,4,7,0,6,5,0,5,0,7,4
15,5/1/2025 11:21,5/1/2025 11:28,anonymous,,Engineering,3,7,9,4,6,9,9,10,9,10,2,3
16,5/1/2025 11:20,5/1/2025 11:40,anonymous,,BioDesign,8,10,7,3,3,8,10,7,10,3,5,4
17,5/1/2025 12:12,5/1/2025 12:14,anonymous,,Engineering,3,5,5,5,6,7,9,3,5,9,2,0
18,5/1/2025 12:16,5/1/2025 12:19,anonymous,,BioDesign,7,8,9,10,7,5,6,4,9,8,2,7
19,5/1/2025 16:25,5/1/2025 16:26,anonymous,,Artificial Intelligence,10,10,10,8,10,9,10,10,10,10,4,4
20,5/2/2025 8:48,5/2/2025 8:49,anonymous,,BioDesign,6,5,7,8,6,3,2,7,8,6,0,8
21,5/2/2025 8:48,5/2/2025 8:49,anonymous,,BioDesign,8,7,8,9,0,8,6,7,9,8,8,10
22,5/2/2025 8:47,5/2/2025 8:49,anonymous,,Engineering,6,4,10,7,7,7,7,8,10,10,6,5
23,5/2/2025 8:49,5/2/2025 8:49,anonymous,,Engineering,10,10,10,10,8,9,8,8,8,9,8,9
24,5/2/2025 8:49,5/2/2025 8:50,anonymous,,Artificial Intelligence,8,7,7,9,7,9,7,6,9,8,7,9
25,5/2/2025 8:48,5/2/2025 8:50,anonymous,,BioDesign,5,7,8,5,0,7,8,5,9,6,5,2
26,5/2/2025 8:48,5/2/2025 8:50,anonymous,,BioDesign,5,7,7,5,0,6,8,2,9,7,5,0
27,5/2/2025 11:02,5/2/2025 11:02,anonymous,,BioDesign,8,8,7,7,8,10,7,5,6,8,1,3
28,5/2/2025 11:53,5/2/2025 11:54,anonymous,,Engineering,6,4,5,3,10,9,8,6,10,10,7,10
